username,review,rating,date,Angry,Haha,Like,Love,Sad,Wow,gender,location
abdelwahad.mouak,C pas mal  Le service est bien   Côté prix pas grand chose   Bon continuation  ,4,2017-11-30 21:10:00,0,0,0,0,0,0,Male,"Casablanca, Morocco"
Abderrahim.Boujida.Officiel,chafara kanchofkom    ,1,2017-11-25 18:01:00,0,0,0,0,0,0,Male,"Marseille, France"
Abderrahim.Kattouss,Be aware of these gang of scammers          ,1,2017-11-25 11:17:00,0,0,0,0,0,0,N/A,"Casablanca, Morocco"
abderrahman.abdo,ba3d lkhatrat ghir katmardo bnadem ,2,2017-11-23 23:22:00,0,0,0,0,0,0,Male,"Safi, Morocco"
abdessalam.essaleh,نهاية تعاملي معكم للأسف خسرتو زبون خسرتو 10 وهذه قاعدة التجارة العالمية ,1,2017-11-24 23:15:00,0,0,1,0,0,0,Male,N/A
abdessamad.abdessamad,Service apres Vente nul  J ai une experience avec ce service qui m as obligé de laisser tous ma commande  et je veux plus rien de vous  juste l arnaque,1,2017-11-20 20:40:00,0,0,0,0,0,0,Male,"Malines, Antwerpen, Belgium"
abdessamad.zahnoun,لا ينصح التعامل مع هاته المؤسسة      ,1,2017-11-27 20:34:00,0,0,0,0,0,0,Male,"Casablanca, Morocco"
abdex.kadda,ما متجر ما تق    و شكرا نتوما غا متجر للنصب و الاحتيال و صافي ماكاين لا بلاك فرايداي لا ز   ,1,2017-11-24 22:24:00,0,0,0,0,0,0,Male,"Casablanca, Morocco"
abdou.boukili.3,لا تشتروا الأحدية فهي رديئة جدا من تجربة شخصية    مكتوب عنها في الموقع جلدية وصورها رائعة والتخفيض جيد خلال البلاك   وعند فتح العلبة وجدت حذاءا يوافق ما في الصور لكن غير جلدي ومن أول استعمال بدأت تتمزق ثقوب السيور إضافة إلى انبعاث رائحة كريحة     ,1,2017-11-27 15:25:00,0,0,4,0,0,0,Male,"New Fes, Fès, Morocco"
abdou.daoudieddaoudi,Excellent vendeur et toujours le meilleur ,5,2017-11-10 14:15:00,0,0,1,0,0,0,Male,"Rabat, Morocco"
abdou.fariat,Des nullards vous êtes nuls et de purs arnaqueurs  j0 Likeai commandé un ventilateur auquel manquait une pièce  après le retour et une dizaine de contacts toujours rien  et dire que vous prétendez être professionnel    bazaf 3likom lgwere,1,2017-11-04 11:32:00,0,0,4,0,0,0,Male,"New Fes, Fès, Morocco"
abdo.wac.5030,service client zero mkhadmin bnadam mkalakhe kaysiftou des produits machi houma hadouk ou falkhar kaygoulik mouchkil man fournisseur hhhhh ou kayd7akou 3la bnadam makayn lablack friday la walou taman zayad ou kaygoylik  60   hhhhh zero zero zero    ,1,2017-11-17 16:21:00,0,0,0,0,0,0,Male,"Casablanca, Morocco"
abdssamad.inan, ﻟﻔﺎﻳﻜﻴﻨﻎ ﻓﺎﻣﻴﻠﻲ  ﻧﺤﻦ ﻣﺠﻤﻮﻋﺔﻣﻦ ﺍﻟﺸﺒﺎﺏ ﺍﻟﻤﻐﺎﺭﺑﺔ ﺍﻟﺬﻱ ﻗﻤﺘﻢ ﺑﺈﻳﺬﺍﺋﻬﻢ ﺑﻬﺬﻩ  ﺍﻻﻋﻼﻧﺎﺕ ﺍﻟﻐﻴﺮ ﻣﻨﻄﻘﻴﺔ ﻭﺫﻟﻚ    See More ,1,2017-11-26 00:09:00,0,0,0,0,0,0,Male,Guercif
ab.lahdili,Manque de la concurrence de taille a laisser tout le terrain pour Jumia et lui donner le pouvoir de se moquer au consommateur marocain   ,1,2017-11-25 12:55:00,0,0,0,0,0,0,Male,"Casablanca, Morocco"
aboubacar.bah.16,Shit company  fucking service  ,1,2017-11-24 03:04:00,0,0,0,0,0,0,Male,Marrakech
aboubakr.essoubai,يبيعون الوهم ويصفون السلع بغير أوصافها الحقيقية وقال ليك التوصيل بالمجان هه أصلا بيعو لينا غير حاجة مزيانة وبثمنها احنا نخلصو التوصيل ولا نجيو حتى جيبوها وزيدهم حتى موقع  Kaytek ma اشتريت عندهم كاميرا مراقبة ولقيتها ماخدماش ودون مستوى وديال شينوا ب 375درهم ودايرين ليها أوصاف خيالية وتحت ثمن زعما دايرين  600درهم ,1,2017-11-09 17:34:00,1,0,0,0,0,0,Male,Aït Melloul
aboulkasim.anas,العام لي فات واحد الدري خدام معاكم قاليا انه البلاك فرايداي ديالكم غ كدوب    السلعة كياخدوها غا لي خدامين تما     و هاد العام عاد زدت تاكدت    كتكدبو على شعب مكلخ     الله ينعل دين كدوبكم الماسخين     و غير تسناو واحد الانتفاضة من عند بنادم لي تايقكم و ضحكتو عليه    ,1,2017-11-24 19:09:00,0,0,2,0,0,0,Male,"Rabat, Morocco"
A.boumlaik,bunch of scammers   noobs  poor service and fake promises don t buy anything from them  bye bye jumia,1,2017-11-24 15:48:00,0,0,0,0,0,0,Male,"Agadir, Morocco"
aboutayebe,Votre black friday est un vrai mensonge  c est de l arnaque solde out en 15s veut dire Jumia out à vie,1,2017-11-24 00:18:00,0,0,5,0,0,0,Male,"Casablanca, Morocco"
abu.mansor.3348,نصابة نصابة نصابة نصابة تصابة ,1,2017-11-24 01:12:00,0,0,0,0,0,0,Male,"Rabat, Morocco"
Achraf.Elmakhfii,Jumia Sma7 lia khoya wella khty    nemchi m3ak de99a de99a 1  Ma kentooch m3awlin 3la had nombre de clients    wakha a ila tbe3nak f tebrir dialk ntooma dayrin des pubs w dayrin une grande campagne    ma khellito internet   ma khellito radio   ma khellito telfaza    w ma 3aweltooch donc nass li khedamin 3endkum f les etudes stratégiques w f la planification ghi tay rawnoo   donc ntooma fach kayn défaut     b  wila bghina nkono logique   ana ngolik   ntooma kento m3awlin 3la h    Continue Reading ,1,2017-11-26 11:34:00,0,0,0,0,0,0,Male,"Oudja, Oujda, Morocco"
achraf.ettajani,Une bande d arnaqueurs qui ne respectent pas leurs engagements  ,1,2017-11-24 22:44:00,0,0,0,0,0,0,Male,N/A
achraf.khallaayoune,                                 ,1,2017-11-25 16:19:00,0,0,0,0,0,0,Male,Marrakech
achraf.matimox,خاص لي احويكم كاملين الزوامل تفو ,1,2017-11-24 15:26:00,0,0,0,0,0,0,Male,"Agadir, Morocco"
achraf.nkia,Black friday juste de l arnaque ,1,2017-11-26 00:25:00,0,0,0,0,0,0,N/A,"Rabat, Morocco"
achraf.oui.3,Vous avez un serveur pentium 1 ,1,2017-11-24 00:45:00,0,0,0,0,0,0,Male,Temara
adam.boufous.33,L application ne marche pas pendant le mégas ventes flash on me laisse même pas finir ma commandes Alors que je suis un habitué ça me laisse penser d arrêter alors que j adore vôtre service Je suis déçu ,1,2017-11-24 08:31:00,0,0,1,0,0,0,Male,"Rabat, Morocco"
adam.khalil.7169,Plus grosse arnaque du 21e siecle   black friday        ,1,2017-11-24 21:04:00,0,0,2,0,0,0,Male,"Casablanca, Morocco"
adam.noah.59,This is by far the most devastating manipulative lying page to ever exist in the web ever    ,1,2017-11-24 23:35:00,0,0,0,0,0,0,Male,Temara
adam.yahya.771,Vous êtes des arnaquer   Black vriday n importe quoi ,1,2017-11-24 13:24:00,0,0,0,0,0,0,Male,Marrakech
Addielmehdi,This is bullshit   You should call it fake friday  ,1,2017-11-24 13:50:00,0,0,1,0,0,0,Male,"Ouarzazat, Ouarzazate, Morocco"
adilbengiao,موقع فاشل وشركة فاشلة بمعنى الكلمة ,1,2017-11-25 23:13:00,0,0,1,0,0,0,Male,Beni Mellal
adil.idrissi.98,Akbar nssaba 7diw rasskom annass   c de l ARNAK   j vous conseille d acheter mn wlad bladkom c des voleurs   ils m ont piquè l argent,1,2017-11-25 00:39:00,0,0,0,0,0,0,Male,Meknes
adilmamori,il faut signaler cette page des arnaqueurs ,1,2017-11-24 19:17:00,0,0,0,0,0,0,Male,"Beni-Mellal-Centre, Beni Mellal, Morocco"
adilmas,كانت عندي تقة فيكوم حيت فايت شريت ما مرة ما جوج ولكن من بعد المهزلة و الضحك على المغاربة اخر مرة نشري شي حاجة من عندكوم باي النصابة  ,1,2017-11-24 23:17:00,0,0,1,0,0,0,Male,"Tangier, Morocco"
adil.ncr,Il faut s organiser et deposer une plainte pour publicité mensongère  Comme ca ces escroc seront équités est arretent de repeter le meme coup chaque année  ,1,2017-11-24 17:51:00,0,0,9,0,0,0,Male,N/A
Adil.Prod,Sel3a dyal lfracha li kaybi3o ,1,2017-11-25 15:19:00,0,0,0,0,0,0,Male,N/A
adnane.ansari1998,هادوا هي شفارة ما كايعارفوا لا حلال و لا حرام ,1,2017-11-29 07:32:00,0,0,0,0,0,0,Male,"New Fes, Fès, Morocco"
adnane.mercedes,Vous êtes 0 votre Image de marque war déchirer ,1,2017-11-25 20:36:00,0,0,0,0,0,0,Male,"Tamesna, Rabat"
adnane.mostakim.98,CH7ALE KAYNE MNE ARTICLE AU CH7ALE  MEN LWA9TE LI RATKHLIW NASS YAKHDOU Jumia ,3,2017-11-23 23:02:00,0,0,0,0,0,0,Male,"Casablanca, Morocco"
aelmh,Hors niveau ,1,2017-11-25 22:02:00,0,0,0,0,0,0,Male,N/A
afaf.raiss.3,Bravo jumia     حطمتو الرقم القياسي فل كدوب    ,1,2017-11-24 00:22:00,0,0,0,0,0,0,Female,N/A
agencevoitures.esonmaroc,Bravo bravo bravo jumia bravo  ,5,2017-11-28 08:06:00,0,0,0,0,0,0,Male,"Ouarzazat, Ouarzazate, Morocco"
ahad.boua,Des arnaqueurs Arretez de faire de l arnaque     ,1,2017-11-25 10:52:00,0,0,0,0,0,0,Female,"Rabat, Morocco"
ahammar.yassine,Avec votre lent serveur  c est impossible d acheter quelque soit en 1 min  Y  ,1,2017-11-24 00:05:00,0,0,1,0,0,0,N/A,"Tangier, Morocco"
ahlame.feehmy,Les gens desinstaller l app et enlevez le 0 LikeLike0 Like de cette page  Des arnaqueurs   ,1,2017-11-24 03:42:00,0,0,1,0,0,0,Female,"Anfa-Supérieur, Casablanca, Morocco"
ahmad.boujida,wa sal3a ghaliya ou na9sa 0 Like diyal shinwa 0 Like    ,1,2017-11-28 00:59:00,0,0,0,0,0,0,Male,"Casablanca, Morocco"
ahmed.aboukhayi,conseille reste loin de se site un vrais arnaque  un jeu de mot sur description ,1,2017-11-25 14:33:00,0,0,0,0,0,0,Male,N/A
ahmed.aldo.9,J ai effectué beaucoup d achat et le service après vente est professionnel je n ai rencontré aucune difficulté,5,2017-11-13 10:37:00,0,0,0,0,0,0,Male,N/A
ahmed.benmouina.39,Arnaqueurs  c est la simple définition qu on puisse vous donner    ,1,2017-11-25 20:36:00,0,0,2,0,0,0,Male,"Safi, Morocco"
Ahmed.Bouaichi5,Hhh عرفكوم امين رغيب نصاب قبل ماتبداو ههه والله تنصابة نتوما ,5,2017-11-24 02:13:00,0,0,1,0,0,0,Male,"Rabat, Morocco"
ahmed.chikri,bonjour  j essaie d acheter sur jumia  et comme toujours je choisie le mode de paiement à la livraison  ces jour là il m oblige à payer via la banque     c est normal ça ,5,2017-11-15 17:21:00,0,0,0,0,0,0,Male,"Rabat, Morocco"
ahmed.driouich.3,كدابة في معاملاتهم والصور مغلوطة 100  ,1,2017-11-24 18:30:00,0,0,1,0,0,0,N/A,"Oudja, Oujda, Morocco"
ahmed.elouarda,Bzaaaf 3likom Black Friday bzf ,1,2017-11-24 01:17:00,0,0,0,0,0,0,Male,"Rabat, Morocco"
ahmed.ibrahimi.2014,Mauvaise expérience avec produits jumia    ,1,2017-11-24 20:50:00,0,0,0,0,0,0,Male,"Rabat, Morocco"
ahmed.laabi.969,كتغليو بزاف الأتمنة خيالية خصوصا الهواتف ,1,2017-11-27 20:13:00,0,0,1,0,0,0,Male,N/A
ahmed.machaar,Larnaque  ,1,2017-11-24 13:37:00,0,0,0,0,0,0,Male,"Rabat, Morocco"
ahmed.micha.98,Ntouma akbar kadabin 3amrak chet chi tlfaza 100dh ew telaja 400dh alkedabin anasabin ,1,2017-11-24 16:10:00,0,0,0,0,0,0,Male,N/A
ahmed.ouzix,Mauvaise commercialisation    juste les mesonges    fuck you ,1,2017-11-25 00:05:00,0,0,0,0,0,0,Male,"Oudja, Oujda, Morocco"
ahmed.ramdanii,Null                               ,1,2017-11-24 00:40:00,0,0,0,0,0,0,Male,Oujda
ahmedreda.elkhou,mieure cite de acheter des promotion bien ,5,2017-11-03 10:42:00,0,0,0,0,0,0,Male,"Casablanca, Morocco"
aicha.sbai.984,je suis déçue had jumia ghir chefara khdit aandhom un telephone w fach hlito lguito halto hala w hta makhdamch fach 3yet lihom pour le retour kaydiw w yjibo fiya 10jours daba w mardoch flosi c est grave   ,1,2017-11-24 13:06:00,0,0,2,0,0,0,Female,"Inezgane, Agadir, Morocco"
Aimad.aattar,Societé d arnaque mauvaise qualité médiocre desinstaller l application et notez 1 pour quelle soit rejeté de playstore,1,2017-11-24 22:35:00,0,0,0,0,0,0,Male,"Inezgane, Agadir, Morocco"
aimad.el.12,Wahed Site 5ayeb Bzff Galik Black Friday Fuck 3la Site ,1,2017-11-25 01:12:00,0,0,0,0,0,0,Male,"Agadir, Morocco"
aimad.wolfy,très décevant votre politique      la derniere fois c ete le carnage au megamall     et mnt c est encore pire ,1,2017-11-24 21:46:00,0,0,1,0,0,0,Male,"Rabat, Morocco"
ainad.bachir,A eviter  Vous représentez l incompétence dans toute sa splendeur  Une equipe de bras cassés,1,2017-11-31 21:19:00,0,0,0,0,0,0,Male,"Casablanca, Morocco"
aissam.magder,ce black friday et une blague touts ça ce n ai pas vrai malheureusement je suis déçu,1,2017-11-24 00:22:00,0,0,1,0,0,0,Male,Marrakech
aissaoui.oussama,Service rapide est fiable  le seul bémol c est les frais de livraison un peu excessif  avant la livraison était gratuite à partir de 500dh mais là ça a carrément changer pour 700dh de livraison on paie 49dh de frais ce n est pas normal sachant que je ne suis qu à Casablanca,4,2017-11-15 15:37:00,0,0,0,0,0,0,Male,"Rabat, Morocco"
AKAGENERAL,استحقار وعدم احترام   غياب تام للاحترافية  كل الشركات تعتبر الزبون هو الملك الا انت تعتبرون الزبون وسيلة لتتبيت التطبيق ,1,2017-11-24 01:29:00,0,0,0,0,0,0,Male,"Rabat, Morocco"
akhatar.abdou.18,ممتاااااااز ,5,2017-11-17 01:26:00,0,1,0,0,0,0,Male,N/A
akram.ke.1,Black fri jumia   kdoub et escroquerie ,1,2017-11-29 08:26:00,0,0,0,0,0,0,Male,N/A
AlaaEddine.Khoudri,This is a lying company that give fake ads in using blackfriday as a background for their fake offers its the worst commercial company there ever was,1,2017-11-24 22:42:00,0,0,1,0,0,0,Male,"Casablanca, Morocco"
alaa.zayl,ما كاين لا بلاك لا ريد والو تراجلو معانا ,1,2017-11-24 12:32:00,0,0,0,0,0,0,N/A,"Casablanca, Morocco"
al.ab.902,vous êtes des arnaqueurs pas plus ,1,2017-11-24 00:40:00,0,0,0,0,0,0,N/A,La Palmerie Marrakech
alae.elbouri,Kdoub bdatb m3a 00 00 khtarit tel s7 kanl9a articles en rupture de stock  Kd7ko 3la bnadem,1,2017-11-24 01:10:00,0,0,0,0,0,0,Male,N/A
ali.choukry.1,leur site n est pas du tout professionnel ni leur application  des beug partout  des ressayer partout  ils veulent faire le buzz avec le black friday  mais rien ne marche avec eux    trop loin des sites pro  concurrentiel  Sincèrement je déconseil,1,2017-11-24 00:10:00,0,0,16,0,0,0,Male,"Rabat, Morocco"
ali.douhi.1,J ai commander une commande avec 2 article pr quoi ces 2 article sont séparer et en plus de ca je dois payer 30 dh frais de livraison pour chaque article Really   Jumia,1,2017-11-26 16:41:00,0,0,1,0,0,0,Male,"Casablanca, Morocco"
ali.faraj.1848816,Prix reasonable et bon service ,4,2017-11-06 12:44:00,0,0,0,0,0,0,Male,"San Francisco, California"
ali.samlal,Bande d arnaqueurs   ,1,2017-11-24 19:15:00,0,0,0,0,0,0,Male,"Casablanca, Morocco"
Alitoo555,Plein de bug et de mensonges ça lague a mort et c est en maintenance ,1,2017-11-24 00:29:00,0,0,0,0,0,0,Male,"New Fes, Fès, Morocco"
alkanas10,شفارة الله ينعل هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه ,1,2017-12-01 14:39:00,0,0,0,0,0,0,Male,"Casablanca, Morocco"
am9rss,ya tous se que vous voulez a jumia ,5,2017-11-18 22:39:00,0,0,0,0,0,0,Male,"New Fes, Fès, Morocco"
amal.goussyra,Vous avez perdu votre image aux yeux des marocains moi personnellement je vais pas acheter de chez vous une autre fois     Arnaquer les gens ce n est pas une strategie de gagner l agrent   Il faut revoir ce que vous etes en train de faire ,1,2017-11-25 08:08:00,0,0,8,0,0,0,Female,"Agadir, Morocco"
amal.ismailialaoui,Jumia ou comment se faire arnaquer    Cela fait un mois maintenant que j ai acheté un téléphone   759437707525496 Infinix  qui s est avéré défectueux  j ai effectué un retour le lendemain même  après 1 mois d attente on refuse de me rembourser alors que le téléphone était défaillant à la réception  Quand je refuse la restitution d un téléphone qui ne marche pas on me donne le nom et l adresse de la société de réparation  alors qu on me confirme qu après expertise le téléphone fonctionne   vas y comprendre     Un petit clin d oeil au service après vente qui a eu le culot de me raccrocher au nez  j aurai attribué un 0 s il y en a  ,1,2017-11-07 16:33:00,0,0,5,0,0,0,Female,"Casablanca, Morocco"
amareibrahimi,un site d arnaque vous méritez 0 wlaah ,1,2017-11-24 14:28:00,0,0,0,0,0,0,Male,"Agadir, Morocco"
amariadnane,Voleurs en un mot  Escrocs de première ,1,2017-11-17 00:03:00,0,0,0,0,0,0,Male,"Casablanca, Morocco"
amel.fath,arnaqueur tous simplement ,1,2017-11-24 01:07:00,0,0,0,0,0,0,Female,Salé
amin.amli.5,Top jumia dima promotion jadid ,5,2017-11-26 18:48:00,0,1,0,0,0,0,Male,"Tangier, Morocco"
amine.aittalab,شركة دون المستوى  كم من مرة ت ,1,2017-11-24 15:54:00,0,0,0,0,0,0,Male,Er Rachidia
amine.bendali.71,Kddabaaaaaa lah yn3al li ma yehcham ,1,2017-11-29 22:27:00,0,0,0,0,0,0,Male,"New Fes, Fès, Morocco"
amine.benhemama,عندما يتم استحمار المواطن المغربي البسيط  عندما يتم الربح و الاشهار على ظهر المواطن البسيط  صراحة خدمة دون المستوى و منتوجات ضعيفة الجودة و ثمن مرتفع  لذا قررت سحب اعجابي بصفحتكم لكي لا تظهر لي اكاذيبكم و تفاهاتكم  قررت حذف تطبيقكم من هاتفي قررت عدم التعامل معكم مستقبلا     See More ,1,2017-11-26 09:55:00,0,0,0,0,0,0,N/A,Sidi Kacem
amine.elmir1,Arnaque de l année black friday ,1,2017-11-24 19:16:00,0,0,0,0,0,0,Male,"Rabat, Morocco"
amine.ennajih,mbrook 3lik lmgharba kolhom hezzo kfofhom lsma ou d3aw de3wat dial lkhir fikoum    ,1,2017-11-24 10:15:00,0,0,2,0,0,0,Male,"Rabat, Morocco"
Amine.Essouli,Scamers  worst service ever   Scamers  worst service ever  ,1,2017-11-25 13:55:00,0,0,0,0,0,0,Male,N/A
aminefaridd,Chewehto b e commerce  kouno chouia me39oline ,1,2017-11-24 11:19:00,0,0,1,0,0,0,Male,"New Fes, Fès, Morocco"
amine.glioui,kdobto 3la kolchi bzaf 3likom black fridy 5liwh lmalih ma9adinch 3la lhaja matzidolhach 5aliwha f ti9ar matkdboch 3la cha3b tfoo m3amn 3aychin     ,1,2017-11-24 00:33:00,0,0,0,0,0,0,Male,"Old Fes, Fès, Morocco"
amine.kesh,فقدتو مصداقيتكم نفس النصب والضحك على ناس مثل عام ماضي اسحب اعجابي من صفحة ,1,2017-11-24 04:23:00,0,0,0,0,0,0,Male,N/A
amine.lahlou.5,Des pros de l arnaque tout simplement   ,1,2017-11-24 11:20:00,0,0,0,0,0,0,Male,"Casablanca, Morocco"
amin.elgout,شفارة و كدابة المغاربة مابقاوش كيتيقو فيكوم ,1,2017-11-25 13:17:00,0,0,1,0,0,0,Male,Taza
amine.madridi.142,مجموعة ديال الشفارة الله يعفوا عليكم ,1,2017-11-24 14:04:00,0,0,0,0,0,0,Male,N/A
amine.mansouri.1213,je ne suis du tout satisfait de vos produits qualité très mauvaise service nulle de chez nulle,1,2017-11-11 14:45:00,0,0,0,0,0,0,Male,"Casablanca, Morocco"
amine.mohamed.5,نصابة البلاك فريداي حشومة عليكوم كطمعو فبنادم ولاكين الخطأ مشي ديالكم ف النهاية المطاف ,1,2017-11-30 17:19:00,0,0,0,0,0,0,Male,"Rabat, Morocco"
